Date,Open,High,Low,Close,Volume,Adj Close,Future_categorical
23/12/2013,16225.25,16318.11,16225.25,16294.61,78930000,16294.61,
30/12/2013,16484.5098,16588.25,16416.4902,16469.9902,286710000,16469.9902,1
6/1/2014,16474.0391,16562.3203,16378.6104,16437.0508,443090000,16437.0508,0
13/1/2014,16434.0293,16505.2793,16240.5996,16458.5605,583760000,16458.5605,1
20/1/2014,16459.2695,16520.5996,15879.1104,15879.1104,441030000,15879.1104,0
27/1/2014,15879.0498,15945.8896,15617.5498,15698.8496,555430000,15698.8496,0
3/2/2014,15697.6904,15798.5098,15340.6904,15794.0801,593050000,15794.0801,1
10/2/2014,15793.6299,16175.5498,15733.6904,16154.3896,440880000,16154.3896,1
17/2/2014,16153.9697,16225.7197,16006.5898,16103.2998,376110000,16103.2998,0
24/2/2014,16102.2695,16398.9492,16102.2695,16321.71,657780000,16321.71,1
3/3/2014,16321.71,16505.6992,16071.25,16452.7207,419450000,16452.7207,1
10/3/2014,16453.0996,16460.3301,16046.9902,16065.6699,396080000,16065.6699,0
17/3/2014,16066.3701,16456.4492,16066.3701,16302.7695,703380000,16302.7695,1
24/3/2014,16303.2803,16466.0391,16191.79,16323.0596,472520000,16323.0596,1
31/3/2014,16324.2197,16631.6309,16324.2197,16412.7109,452210000,16412.7109,1
7/4/2014,16414.1504,16456.1191,16015.3203,16026.75,538700000,16026.75,0
14/4/2014,16028.29,16460.4902,16028.29,16408.5391,418710000,16408.5391,1
21/4/2014,16408.9199,16565.7109,16333.7803,16361.46,412130000,16361.46,0
28/4/2014,16363.2002,16620.0605,16312.6602,16512.8906,424260000,16512.8906,1
5/5/2014,16509.75,16622.9492,16357.3496,16583.3398,389130000,16583.3398,1
12/5/2014,16584.8203,16735.5098,16397.4609,16491.3105,440800000,16491.3105,0
19/5/2014,16490.3496,16613.0703,16341.2998,16606.2695,354650000,16606.2695,1
26/5/2014,16607.4199,16721.2207,16607.4199,16717.1699,304040000,16717.1699,1
2/6/2014,16716.8496,16924.2793,16673.6504,16924.2793,341950000,16924.2793,1
9/6/2014,16926.0801,16970.1699,16703.7305,16775.7402,361330000,16775.7402,0
16/6/2014,16765.5605,16978.0195,16722.8594,16947.0801,542720000,16947.0801,1
23/6/2014,16946.5,16969.6992,16746.0898,16851.8398,419120000,16851.8398,0
30/6/2014,16852.4902,17074.6504,16801.9395,17068.2598,289050000,17068.2598,1
7/7/2014,17063.8301,17063.8301,16805.3809,16943.8105,332360000,16943.8105,0
14/7/2014,16950.9297,17151.5605,16950.9297,17100.1797,485570000,17100.1797,1
21/7/2014,17095.1094,17133.4297,16915.6504,16960.5703,352670000,16960.5703,0
28/7/2014,16956.9102,17056.4609,16437.0703,16493.3691,406450000,16493.3691,0
4/8/2014,16493.7207,16596.2207,16333.7803,16553.9297,394340000,16553.9297,1
11/8/2014,16557.2695,16775.2695,16518.0605,16662.9102,365900000,16662.9102,1
18/8/2014,16664.4492,17074.5898,16664.4492,17001.2207,334340000,17001.2207,1
25/8/2014,17011.8105,17153.8008,17011.8105,17098.4492,303160000,17098.4492,1
1/9/2014,17097.4199,17161.5508,17009.0703,17137.3594,272340000,17137.3594,1
8/9/2014,17131.7109,17137.8809,16937.6699,16987.5098,357920000,16987.5098,0
15/9/2014,16988.7598,17350.6406,16951.3809,17279.7402,667670000,17279.7402,1
22/9/2014,17271.7109,17277.8809,16945.8008,17113.1504,400110000,17113.1504,0
29/9/2014,17107.6895,17145.0996,16674.0391,17009.6895,440180000,17009.6895,0
6/10/2014,17010.3398,17099.3906,16543.9102,16544.0996,1071380000,16544.0996,0
13/10/2014,16535.4297,16602.4102,15855.1201,16380.4102,648200000,16380.4102,0
20/10/2014,16373.1504,16811.7109,16260.54,16805.4102,481300000,16805.4102,1
27/10/2014,16796.0996,17395.5391,16729.8301,17390.5195,434690000,17390.5195,1
3/11/2014,17390.9004,17575.3301,17278.3594,17573.9297,390980000,17573.9297,1
10/11/2014,17568.9805,17705.4805,17536.1699,17634.7402,353680000,17634.7402,1
17/11/2014,17631.8496,17894.8301,17603.8906,17810.0605,450210000,17810.0605,1
24/11/2014,17812.6309,17893.4199,17790.8906,17828.2402,321620000,17828.2402,1
1/12/2014,17827.2695,17991.1895,17726.5508,17958.7891,423140000,17958.7891,1
8/12/2014,17954.9395,17960.5605,17280.8301,17280.8301,516230000,17280.8301,0
15/12/2014,17285.7402,17874.0293,17067.5898,17804.8008,816540000,17804.8008,1
22/12/2014,17812.25,18103.4492,17812.25,18053.7109,276790000,18053.7109,1
29/12/2014,18046.5801,18073.0391,17731.3008,17832.9902,260470000,17832.9902,0
5/1/2015,17821.3008,17916.0391,17262.3691,17737.3691,517340000,17737.3691,0
12/1/2015,17742.0508,17923.0098,17243.5508,17511.5703,536040000,17511.5703,0
19/1/2015,17516.9609,17840.8906,17346.7305,17672.5996,424220000,17672.5996,1
26/1/2015,17668.1094,17696.3594,17136.3008,17164.9492,619390000,17164.9492,0
2/2/2015,17169.9902,17951.0898,17037.7598,17824.2891,497010000,17824.2891,1
9/2/2015,17821.4902,18037.4102,17685.3203,18019.3496,463800000,18019.3496,1
16/2/2015,18019.8008,18144.2891,17878.3691,18140.4395,364370000,18140.4395,1
23/2/2015,18140.7598,18244.3809,18054.8398,18132.6992,426070000,18132.6992,0
2/3/2015,18134.0508,18288.6309,17825.1504,17856.7793,443710000,17856.7793,0
9/3/2015,17856.5605,18031.0391,17620.4902,17749.3105,533560000,17749.3105,0
16/3/2015,17751.2402,18197.2891,17697.5195,18127.6504,756960000,18127.6504,1
23/3/2015,18136.7305,18205.9297,17579.2695,17712.6602,512740000,17712.6602,0
30/3/2015,17727.4805,18008.6406,17585.0098,17763.2402,414240000,17763.2402,1
