ID,Reason,Date,Seasons,TransportExp,Distance,ServiceTime,Age,Workload,HitTarget,DisciplineIssue,Education,Children,SocialDrinker,SocialSmoker,Pets,Weight,Height,BMI,AbsenceHours
11,26,7/7/15,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,4
36,0,14/7/15,1,118,13,18,50,239.554,97,1,1,1,1,0,0,98,178,31,0
3,23,15/7/15,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2
7,7,16/7/15,1,279,5,14,39,239.554,97,0,1,2,1,1,0,68,168,24,4
11,23,23/7/15,1,289,36,13,33,239.554,97,0,1,2,1,0,1,90,172,30,2
3,23,10/7/15,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2
10,22,17/7/15,1,361,52,3,28,239.554,97,0,1,1,1,0,4,80,172,27,8
20,23,24/7/15,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,4
14,19,6/7/15,1,155,12,14,34,239.554,97,0,1,2,1,0,0,95,196,25,40
1,22,13/7/15,1,235,11,14,37,239.554,97,0,3,1,0,0,1,88,172,29,8
20,1,20/7/15,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
20,1,14/7/15,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
20,11,15/7/15,1,260,50,11,36,239.554,97,0,1,4,1,0,0,65,168,23,8
3,11,15/7/15,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,1
3,23,15/7/15,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,4
24,14,17/7/15,1,246,25,16,41,239.554,97,0,1,0,1,0,0,67,170,23,8
3,23,17/7/15,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,2
3,21,27/7/15,1,179,51,18,38,239.554,97,0,1,0,1,0,0,89,170,31,8
6,11,30/7/15,1,189,29,13,33,239.554,97,0,1,2,0,0,2,69,167,25,8
33,23,5/8/15,1,248,25,14,47,205.917,92,0,1,2,0,0,1,86,165,32,2
