22Touch,Meridian,Refer.com,Boise,acquisition,1/11/2013,
Amega Scientific Corp,Marlton,Mesa Laboratories,Lakewood,acquisition,1/11/2013,
AST Bearings LLC,Montville,Motion Industries,Birmingham,acquisition,1/11/2013,6.4m
Callidus Biopharma,Doylestown,Amicus Therapeutics,Cranbury,,1/11/2013,
CapStone Bank,Raleigh,NewBridge Bank,Greensboro,,1/11/2013,64000000
Carmanah Design and Manufacturing,Burlington,Kadant,Westford,acquisition,1/11/2013,52000000
Commercial Kitchen Maintenance ,Cardiff,JLA ltd,Ripponden,acquisition,1/11/2013,
Consumer Health Advisers,Bethesda,Key Benefit Administrators,Indianapolis,acquisition,1/11/2013,
Carmanah Design and Manufacturing,Burlington,Kadant,Westford,acquisition,1/11/2013,52000000
Cope Today,Raleigh,MindCare Solutions,Nashville,acquisition,1/11/2013,
Duo Web Solutions,New Berlin,ARI Network Services,Milwaukee,acquisition,1/11/2013,
Everis,Madrid,NTT Data,Tokyo,,1/11/2013,
Frame Displays,Sterling,Essilor,Charenton-le-pont,acquisition,1/11/2013,
G.H. Bass & Co - Weejuns,Pueblo,G-III Apparel Group,New York,acquisition,1/11/2013,
Haskins Steel Co.,Spokane,Reliance Steel & Aluminum Co,Los Angeles,acquisition,1/11/2013,
Howell Metal,New Market,Mueller Copper Tube Products,Wynne,acquisition,1/11/2013,58500000
Kawet,Paris,Phenix Groupe,Levallois,acquisition,1/11/2013,
Mivisa,Las Torres De Cotillas,Crown Holdings,Philadelphia,acquisition,1/11/2013,1381421238
OSB Consulting,,Virtusa Corporation,Westborough,,1/11/2013,
Pixavi ,Stavanger,Bartec ,Bad Mergentheim,acquisition,1/11/2013,
Prima Tech,Kenansville,Neogen Corp.,Lansing,acquisition,1/11/2013,
Proton (Southern),Southampton,JLA ltd,Ripponden,acquisition,1/11/2013,
Savvytel,,Yatango,Sydney,acquisition,1/11/2013,
Simply Mac,Salt Lake City,GameStop,Grapevine,acquisition,1/11/2013,
Stephanie Lumsden Inc,,ClosetDrop,Perth,acquisition,1/11/2013,
Suntech Power,Wuxi,Shunfeng Photovoltaic,Changzhou,acquisition,1/11/2013,
Tandberg Data,Dortmund,Overland Storage,San Diego,acquisition,1/11/2013,
Tekra,New Berlin,EIS Inc,Atlanta,acquisition,1/11/2013,
The Dominion,Toronto,Travelers Insurance,Dallas,acquisition,1/11/2013,1100000000
Thinksoft Global Services Ltd,,SQS Software Quality Systems,Cologne,acquisition,1/11/2013,
Trumpet Local Media,Boulder,Ramblin Jackson,Boulder,acquisition,1/11/2013,
Virgin Wines,Norwich,Mobeus Equity Partners,London,management_buyout,1/11/2013,12865211
Wittlebee,Culver City,Fabkids,San Francisco,,1/11/2013,
Worry Free Labs,New York,PointClear Solutions,Atlanta,,1/11/2013,
Acacia Federal Savings Bank,Falls Church,Stifel Financial Corp.,St Louis,acquisition,31/10/2013,
Aggregate Knowledge,San Mateo,Neustar,Sterling,acquisition,31/10/2013,119000000
Alexander Mann Solutions,Manila,New Mountain Capital,New York,acquisition,31/10/2013,416998795
Bison Coach,Milford,Thor Industries,Elkhart,acquisition,31/10/2013,16700000
Bravo Telecom,Riyadh,Saudi Telecom Company,Riyadh,,31/10/2013,
Busy Bees Childcare,Burntwood,Ontario Teachers' Pension Plan,Toronto,acquisition,31/10/2013,
Epyx,Meriden,FleetCor Technologies,Norcross,acquisition,31/10/2013,
Eska Graphic Board,Sappemeer,Andlinger and Company,Brussels,lbo,31/10/2013,
Genesis Biopharma,Los Angeles,Lion Biotechnologies,New York,,31/10/2013,
Hemfoder AB,,ZooZoo.com,Kista,,31/10/2013,
Labour Solutions Australia,Milton,Adcorp,Bryanston,,31/10/2013,
MortgageCEO,Worcester,Ellie Mae,Pleasanton,,31/10/2013,
PALSYS Software Co,Bangkok,NS Solutions,Tokyo,acquisition,31/10/2013,
PCO Innovation,Montréal,Accenture,Dublin,acquisition,31/10/2013,
Sofa Workshop,London,DFS Furniture,Doncaster,acquisition,31/10/2013,
Tekpub,Farmington,Pluralsight,Farmington,,31/10/2013,
Unitrends,Burlington,Insight Venture Partners,New York,lbo,31/10/2013,
