id,name,host_id,host_name,neighbour_hood_info,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
179670,High-end doorman bldg in the LES,21475,Milan,"Manhattan,Lower East Side",40.72019,-73.98217,Private room,120,2,99,6/27/2019,1.04,1,345
179741,Spring & Mulberry 2 Bedroom Apartment,314941,Tony,"Manhattan,Nolita",40.72133,-73.99666,Entire home/apt,300,1,6,6/28/2019,0.06,3,115
180507,Ultra Modern NYC Garden Apartment,864735,Jason,"Queens,Astoria",40.75744,-73.92163,Entire home/apt,107,30,21,12/1/2018,0.22,8,200
180792,Modern Garden Apartment in NYC,864735,Jason,"Queens,Astoria",40.75695,-73.9202,Entire home/apt,95,30,24,4/4/2019,0.26,8,271
181972,Gorgeous Entire Manhattan Townhouse,872121,Rosario,"Manhattan,Harlem",40.8296,-73.94651,Entire home/apt,199,2,111,6/2/2019,1.17,1,12
182069,Cozy studio Apartment in Upper East,39260,Mat,"Manhattan,East Harlem",40.79056,-73.9468,Entire home/apt,120,2,86,6/20/2019,0.91,1,268
182095,Historic classic central cozy Village clean NYU,872805,Mike,"Manhattan,West Village",40.73631,-73.99977,Entire home/apt,199,15,66,4/29/2019,0.69,2,89
182177,A PRIVATE FLAT / APARTMENT- $SPECIAL$,873273,Christian & Carla,"Bronx,Allerton",40.86466,-73.85709,Entire home/apt,125,2,271,6/20/2019,2.84,2,347
182649,Williamsburg bedroom by Bedford Ave,876054,Obed,"Brooklyn,Williamsburg",40.71312,-73.96199,Private room,70,2,227,6/18/2019,2.4,1,37
185266,Clean and bright with a comfortable atmosphere,889106,Lisa,"Brooklyn,Williamsburg",40.71297,-73.94336,Private room,75,4,80,7/6/2019,1.55,1,0
187488,WEST VILLAGE LRG CLEAN SUNNY PRIVATE BDRM,871727,Village,"Manhattan,West Village",40.73712,-74.00166,Private room,100,30,5,12/3/2018,0.07,1,359
187566,Historic Brooklyn Studio Apartment,279078,Andrew & Markus,"Brooklyn,Bedford-Stuyvesant",40.69242,-73.95097,Entire home/apt,99,2,187,6/10/2019,1.97,2,287
187986,Comfort at Crossroads of Downtown,904833,Daniel,"Manhattan,Chelsea",40.73862,-73.99758,Entire home/apt,250,1,2,8/28/2015,0.02,1,0
188146,"""The Oasis"" on Bedford Williamsburg",906200,Mariana,"Brooklyn,Williamsburg",40.7158,-73.95803,Entire home/apt,350,6,1,1/1/2016,0.02,1,233
