,cut,color,clarity,carat,depth,table,x,y,z,price
1,Ideal,E,SI2,0.23,61.5,55,3.95,3.98,2.43,326
2,Premium,E,SI1,0.21,59.8,61,3.89,3.84,2.31,326
3,Good,E,VS1,0.23,56.9,65,4.05,4.07,2.31,327
4,Premium,I,VS2,0.29,62.4,58,4.2,4.23,2.63,334
5,Good,J,SI2,0.31,63.3,58,4.34,4.35,2.75,335
6,Very Good,J,VVS2,0.24,62.8,57,3.94,3.96,2.48,336
7,Very Good,I,VVS1,0.24,62.3,57,3.95,3.98,2.47,336
8,Very Good,H,SI1,0.26,61.9,55,4.07,4.11,2.53,337
9,Fair,E,VS2,0.22,65.1,61,3.87,3.78,2.49,337
10,Very Good,H,VS1,0.23,59.4,61,4,4.05,2.39,338
11,Good,J,SI1,0.3,64,55,4.25,4.28,2.73,339
12,Ideal,J,VS1,0.23,62.8,56,3.93,3.9,2.46,340
13,Premium,F,SI1,0.22,60.4,61,3.88,3.84,2.33,342
14,Ideal,J,SI2,0.31,62.2,54,4.35,4.37,2.71,344
15,Premium,E,SI2,0.2,60.2,62,3.79,3.75,2.27,345
16,Premium,E,I1,0.32,60.9,58,4.38,4.42,2.68,345
17,Ideal,I,SI2,0.3,62,54,4.31,4.34,2.68,348
18,Good,J,SI1,0.3,63.4,54,4.23,4.29,2.7,351
19,Good,J,SI1,0.3,63.8,56,4.23,4.26,2.71,351
20,Very Good,J,SI1,0.3,62.7,59,4.21,4.27,2.66,351
21,Good,I,SI2,0.3,63.3,56,4.26,4.3,2.71,351
22,Very Good,E,VS2,0.23,63.8,55,3.85,3.92,2.48,352
23,Very Good,H,VS1,0.23,61,57,3.94,3.96,2.41,353
24,Very Good,J,SI1,0.31,59.4,62,4.39,4.43,2.62,353
25,Very Good,J,SI1,0.31,58.1,62,4.44,4.47,2.59,353
26,Very Good,G,VVS2,0.23,60.4,58,3.97,4.01,2.41,354
27,Premium,I,VS1,0.24,62.5,57,3.97,3.94,2.47,355
28,Very Good,J,VS2,0.3,62.2,57,4.28,4.3,2.67,357
29,Very Good,D,VS2,0.23,60.5,61,3.96,3.97,2.4,357
30,Very Good,F,VS1,0.23,60.9,57,3.96,3.99,2.42,357
31,Very Good,F,VS1,0.23,60,57,4,4.03,2.41,402
32,Very Good,F,VS1,0.23,59.8,57,4.04,4.06,2.42,402
33,Very Good,E,VS1,0.23,60.7,59,3.97,4.01,2.42,402
34,Very Good,E,VS1,0.23,59.5,58,4.01,4.06,2.4,402
35,Very Good,D,VS1,0.23,61.9,58,3.92,3.96,2.44,402
36,Good,F,VS1,0.23,58.2,59,4.06,4.08,2.37,402
37,Good,E,VS1,0.23,64.1,59,3.83,3.85,2.46,402
38,Good,H,SI1,0.31,64,54,4.29,4.31,2.75,402
39,Very Good,D,VS2,0.26,60.8,59,4.13,4.16,2.52,403
40,Ideal,I,SI2,0.33,61.8,55,4.49,4.51,2.78,403
41,Ideal,I,SI2,0.33,61.2,56,4.49,4.5,2.75,403
42,Ideal,J,SI1,0.33,61.1,56,4.49,4.55,2.76,403
43,Good,D,VS2,0.26,65.2,56,3.99,4.02,2.61,403
44,Good,D,VS1,0.26,58.4,63,4.19,4.24,2.46,403
45,Good,H,SI2,0.32,63.1,56,4.34,4.37,2.75,403
46,Premium,F,SI1,0.29,62.4,58,4.24,4.26,2.65,403
47,Very Good,H,SI2,0.32,61.8,55,4.35,4.42,2.71,403
48,Good,H,SI2,0.32,63.8,56,4.36,4.38,2.79,403
49,Very Good,E,VS2,0.25,63.3,60,4,4.03,2.54,404
50,Very Good,H,SI2,0.29,60.7,60,4.33,4.37,2.64,404
51,Very Good,F,SI1,0.24,60.9,61,4.02,4.03,2.45,404
52,Ideal,G,VS1,0.23,61.9,54,3.93,3.95,2.44,404
53,Ideal,I,SI1,0.32,60.9,55,4.45,4.48,2.72,404
54,Premium,E,VS2,0.22,61.6,58,3.93,3.89,2.41,404
55,Premium,D,VS2,0.22,59.3,62,3.91,3.88,2.31,404
56,Ideal,I,SI2,0.3,61,59,4.3,4.33,2.63,405
57,Premium,J,SI2,0.3,59.3,61,4.43,4.38,2.61,405
58,Very Good,I,SI1,0.3,62.6,57,4.25,4.28,2.67,405
59,Very Good,I,SI1,0.3,63,57,4.28,4.32,2.71,405
60,Good,I,SI1,0.3,63.2,55,4.25,4.29,2.7,405
61,Ideal,I,VS1,0.35,60.9,57,4.54,4.59,2.78,552
62,Premium,D,SI1,0.3,62.6,59,4.23,4.27,2.66,552
63,Ideal,D,SI1,0.3,62.5,57,4.29,4.32,2.69,552
64,Ideal,D,SI1,0.3,62.1,56,4.3,4.33,2.68,552
65,Premium,I,SI2,0.42,61.5,59,4.78,4.84,2.96,552
66,Ideal,G,VVS2,0.28,61.4,56,4.19,4.22,2.58,553
67,Ideal,I,VVS1,0.32,62,55.3,4.39,4.42,2.73,553
68,Very Good,G,SI1,0.31,63.3,57,4.33,4.3,2.73,553
69,Premium,G,SI1,0.31,61.8,58,4.35,4.32,2.68,553
70,Premium,E,VVS1,0.24,60.7,58,4.01,4.03,2.44,553
71,Very Good,D,VVS1,0.24,61.5,60,3.97,4,2.45,553
72,Very Good,H,SI1,0.3,63.1,56,4.29,4.27,2.7,554
73,Premium,H,SI1,0.3,62.9,59,4.28,4.24,2.68,554
74,Premium,H,SI1,0.3,62.5,57,4.29,4.25,2.67,554
75,Good,H,SI1,0.3,63.7,57,4.28,4.26,2.72,554
76,Very Good,F,VVS2,0.26,59.2,60,4.19,4.22,2.49,554
77,Very Good,E,VVS2,0.26,59.9,58,4.15,4.23,2.51,554
78,Very Good,D,VVS2,0.26,62.4,54,4.08,4.13,2.56,554
79,Very Good,D,VVS2,0.26,62.8,60,4.01,4.05,2.53,554
80,Very Good,E,VVS1,0.26,62.6,59,4.06,4.09,2.55,554
81,Very Good,E,VVS1,0.26,63.4,59,4,4.04,2.55,554
82,Very Good,D,VVS1,0.26,62.1,60,4.03,4.12,2.53,554
83,Ideal,E,VVS2,0.26,62.9,58,4.02,4.06,2.54,554
84,Ideal,I,SI2,0.38,61.6,56,4.65,4.67,2.87,554
85,Good,E,VVS1,0.26,57.9,60,4.22,4.25,2.45,554
86,Premium,G,VVS1,0.24,62.3,59,3.95,3.92,2.45,554
87,Premium,H,VVS1,0.24,61.2,58,4.01,3.96,2.44,554
88,Premium,H,VVS1,0.24,60.8,59,4.02,4,2.44,554
89,Premium,H,VVS2,0.24,60.7,58,4.07,4.04,2.46,554
90,Premium,I,SI1,0.32,62.9,58,4.35,4.33,2.73,554
91,Ideal,E,SI1,0.7,62.5,57,5.7,5.72,3.57,2757
92,Fair,E,SI2,0.86,55.1,69,6.45,6.33,3.52,2757
93,Ideal,G,VS2,0.7,61.6,56,5.7,5.67,3.5,2757
94,Very Good,E,VS2,0.71,62.4,57,5.68,5.73,3.56,2759
95,Very Good,G,SI2,0.78,63.8,56,5.81,5.85,3.72,2759
96,Good,E,VS2,0.7,57.5,58,5.85,5.9,3.38,2759
97,Good,F,VS1,0.7,59.4,62,5.71,5.76,3.4,2759
98,Fair,F,SI2,0.96,66.3,62,6.27,5.95,4.07,2759
99,Very Good,E,SI1,0.73,61.6,59,5.77,5.78,3.56,2760
100,Premium,H,SI1,0.8,61.5,58,5.97,5.93,3.66,2760
101,Very Good,D,SI1,0.75,63.2,56,5.8,5.75,3.65,2760
102,Premium,E,SI1,0.75,59.9,54,6,5.96,3.58,2760
103,Ideal,G,SI1,0.74,61.6,55,5.8,5.85,3.59,2760
104,Premium,G,VS2,0.75,61.7,58,5.85,5.79,3.59,2760
105,Ideal,I,VS1,0.8,62.9,56,5.94,5.87,3.72,2760
106,Ideal,G,SI1,0.75,62.2,55,5.87,5.8,3.63,2760
107,Premium,G,SI1,0.8,63,59,5.9,5.81,3.69,2760
108,Ideal,I,VVS2,0.74,62.3,55,5.77,5.81,3.61,2761
109,Ideal,F,SI2,0.81,58.8,57,6.14,6.11,3.6,2761
110,Ideal,E,VVS2,0.59,62,55,5.38,5.43,3.35,2761
111,Ideal,F,SI2,0.8,61.4,57,5.96,6,3.67,2761
112,Ideal,E,SI2,0.74,62.2,56,5.8,5.84,3.62,2761
113,Premium,I,VS2,0.9,63,58,6.16,6.12,3.87,2761
114,Very Good,G,SI1,0.74,62.2,59,5.73,5.82,3.59,2762
115,Ideal,F,VS2,0.73,62.6,56,5.77,5.74,3.6,2762
116,Ideal,F,VS2,0.73,62.7,53,5.8,5.75,3.62,2762
117,Premium,F,SI2,0.8,61.7,58,5.98,5.94,3.68,2762
118,Ideal,G,VS2,0.71,62.4,54,5.72,5.76,3.58,2762
119,Ideal,E,VS2,0.7,60.7,58,5.73,5.76,3.49,2762
120,Ideal,F,SI2,0.8,59.9,59,6.01,6.07,3.62,2762
121,Ideal,D,SI2,0.71,62.3,56,5.73,5.69,3.56,2762
122,Ideal,E,SI1,0.74,62.3,54,5.8,5.83,3.62,2762
123,Very Good,F,VS2,0.7,61.7,63,5.64,5.61,3.47,2762
