Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,Application ID,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee Source
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,123456,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,1,123457,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,4,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,123458,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Marketing,1,4,123459,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,5,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,5,123460,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Marketing,1,6,123461,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,5,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,7,123462,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,8,123463,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,9,123464,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,10,123465,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2,Company Website
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,11,123466,1,Female,41,3,5,Manager,1,Married,19566,3854,5,Y,No,11,3,4,80,0,33,5,1,29,8,11,10,Indeed
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,12,123467,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,4,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,13,123468,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Marketing,1,14,123469,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,5,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Human Resources,1,15,123470,1,Female,77,2,1,Human Resources,1,Married,2342,8635,0,Y,No,21,4,1,80,0,8,0,1,6,4,0,5,Referral
37,Voluntary Resignation,Travel_Rarely,807,Human Resources,6,4,Marketing,1,16,123471,1,Female,37,3,2,Sales Executive,4,Single,5993,19479,5,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,17,123472,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
41,Voluntary Resignation,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,18,123473,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,4,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Referral
