year,month,day,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss40,emp_combined_ss60,emp_combined_ss65,emp_combined_ss70,emp_combined_inclow_advance
2020,1,14,-0.00416,-0.00383,-0.00552,-0.00177,-0.00241,-0.00285,-0.00628,-0.00429,0
2020,1,15,-0.00301,-0.00305,-0.00382,-0.00138,-0.00181,-0.00176,-0.00454,-0.00339,0
2020,1,16,-0.00193,-0.0022,-0.00227,-0.00104,-0.00124,-0.000758,-0.00293,-0.00255,0
2020,1,17,-0.000923,-0.0013,-0.000864,-0.000716,-0.000679,0.000137,-0.00142,-0.00176,0
2020,1,18,0.0000204,-0.000374,0.000407,-0.000401,-0.000121,0.000918,-0.00002,-0.00091,0
2020,1,19,0.000889,0.000501,0.00156,-0.0000941,0.000417,0.00159,0.00126,-0.000089,0
2020,1,20,0.00168,0.00131,0.00261,0.000206,0.000932,0.00215,0.00244,0.000708,0
2020,1,21,0.00237,0.00187,0.00355,0.0005,0.00138,0.00261,0.00349,0.00133,0
2020,1,22,0.00299,0.00236,0.0044,0.000787,0.00179,0.00298,0.00444,0.00194,0
2020,1,23,0.00355,0.00275,0.00516,0.00107,0.00216,0.00327,0.0053,0.00252,0
2020,1,24,0.00404,0.00304,0.00585,0.00135,0.00247,0.0035,0.00608,0.00307,0
2020,1,25,0.00449,0.00332,0.00646,0.00164,0.00274,0.00369,0.0068,0.00367,0
2020,1,26,0.0049,0.00352,0.007,0.00195,0.00295,0.00385,0.00746,0.00423,0
2020,1,27,0.00527,0.00366,0.00749,0.00228,0.00312,0.00399,0.00808,0.00476,0
2020,1,28,0.00558,0.00363,0.00793,0.00262,0.00322,0.00411,0.00863,0.00518,0
2020,1,29,0.00587,0.00358,0.00834,0.00298,0.00329,0.00422,0.00915,0.00563,0
2020,1,30,0.00614,0.00349,0.00872,0.00335,0.00333,0.00433,0.00964,0.00611,0
2020,1,31,0.00641,0.0034,0.00909,0.00373,0.00337,0.00444,0.0101,0.00663,0
2020,2,1,0.00667,0.00326,0.00946,0.00412,0.00342,0.00456,0.0105,0.00718,0
2020,2,2,0.00694,0.00312,0.00983,0.00451,0.00347,0.00469,0.011,0.0078,0
2020,2,3,0.00721,0.00297,0.0102,0.00493,0.00353,0.00485,0.0114,0.00847,0
2020,2,4,0.00751,0.00288,0.0106,0.00538,0.00358,0.00504,0.0118,0.00925,0
2020,2,5,0.00783,0.0028,0.011,0.00587,0.00366,0.00527,0.0123,0.01,0
2020,2,6,0.00817,0.00273,0.0114,0.00642,0.00376,0.00554,0.0127,0.0108,0
2020,2,7,0.00853,0.00267,0.0118,0.00704,0.00389,0.00586,0.0132,0.0116,0
2020,2,8,0.00888,0.00249,0.0122,0.00773,0.00399,0.00622,0.0137,0.0121,0
2020,2,9,0.00924,0.00232,0.0126,0.00848,0.00412,0.00662,0.0142,0.0126,0
2020,2,10,0.0096,0.00217,0.013,0.00927,0.00427,0.00703,0.0146,0.0131,0
2020,2,11,0.01,0.00223,0.0134,0.0101,0.00451,0.00745,0.0151,0.0137,0
2020,2,12,0.0104,0.00225,0.0137,0.0109,0.00476,0.00787,0.0156,0.0142,0
2020,2,13,0.0108,0.00226,0.0141,0.0118,0.00502,0.00824,0.016,0.0147,0
