TrackNames,Artists,Streams,url,Likes
Girls Like You (feat. Cardi B),Maroon 5 Cardi B,19272,https://open.spotify.com/track/1g0r3J85BWQsRf2GwSUhlb,10372
Happier,Ed Sheeran,19270,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,9975
You Are The Reason,Calum Scott,15761,https://open.spotify.com/track/7wZ6DrCIKapZ63zyQyduSX,11985
2002,Anne-Marie,14954,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,11241
The Middle,Zedd Maren Morris Grey,14269,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,11514
no tears left to cry,Ariana Grande,12843,https://open.spotify.com/track/4wZqeCVR3fwS5MFoRtAnia,9004
In My Blood,Shawn Mendes,10986,https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH,7459
A Million Dreams,P!nk,10653,https://open.spotify.com/track/0oagwWkGlBoACUuKvTmqZV,4203
thank u next,Ariana Grande,9807,https://open.spotify.com/track/5udz8YvYKpDRB3gcSILh0e,10690
FRIENDS,Marshmello Anne-Marie,9612,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,5078
Never Be the Same,Camila Cabello,9611,https://open.spotify.com/track/6VpQdig9pdpTSIFItgkJV5,9853
Delicate,Taylor Swift,8982,https://open.spotify.com/track/6NFyWDv5CjfwuzoCkw47Xf,10272
Happier,Marshmello Bastille,8834,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,11797
Rise,Jonas Blue Jack & Jack,8309,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3,3439
One Kiss (with Dua Lipa),Calvin Harris Dua Lipa,7822,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,10965
Finesse - Remix; feat. Cardi B,Bruno Mars Cardi B,7586,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,6856
Youngblood,5 Seconds of Summer,7472,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,8441
These Days (feat. Jess Glynne Macklemore & Dan Caplen),Rudimental Jess Glynne Macklemore Dan Caplen,7416,https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,10920
IDGAF,Dua Lipa,7006,https://open.spotify.com/track/6acdKgBrJoYKbJD6WhG81R,3675
For You (Fifty Shades Freed) (& Rita Ora),Liam Payne Rita Ora,6779,https://open.spotify.com/track/3dwA7rmNGaOX0W4jgfUC9v,7590
The Way I Am,Charlie Puth,6582,https://open.spotify.com/track/6qNALlmZa1ESnCxJmXE1K9,3058
Beautiful (feat. Camila Cabello),Bazzi Camila Cabello,6521,https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,4199
Have It All,Jason Mraz,6261,https://open.spotify.com/track/1pIMxRddmCGalHnRbLFkWg,4303
Head Above Water,Avril Lavigne,6237,https://open.spotify.com/track/1N7YeVU0ZwAFbOhwM61ef6,3929
Solo (feat. Demi Lovato),Clean Bandit Demi Lovato,6028,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6,11286
Wait,Maroon 5,5723,https://open.spotify.com/track/3T9CfDxFYqZWSKxd0BhZrb,3180
Back To You - From 13 Reasons Why â€“ Season 2 Soundtrack,Selena Gomez,5601,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,11634
breathin,Ariana Grande,5586,https://open.spotify.com/track/4vlnIIEJCooktVkmXtpjgZ,10210
High Hopes,Panic! At The Disco,5541,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,9798
Don't Go Breaking My Heart,Backstreet Boys,5362,https://open.spotify.com/track/79Mjfhh393dZdAsTvUFDR6,9017
Done for Me (feat. Kehlani),Charlie Puth Kehlani,5259,https://open.spotify.com/track/1lsBTdE6MGsKeZCD6llNu7,11217
Let Me,ZAYN,5198,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC,10458
Shotgun,George Ezra,5160,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,5283
I'm a Mess,Bebe Rexha,5025,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,9284
Better with You,Jesse McCartney,5001,https://open.spotify.com/track/1FFKRJnZX9xT4U5zW0suuR,11336
No Excuses,Meghan Trainor,4933,https://open.spotify.com/track/7fCNUWi6uflDTQ08srxMZk,5363
"Ashes - from ""Deadpool 2"" Motion Picture Soundtrack",CÃ©line Dion,4781,https://open.spotify.com/track/7FihoA0WgTT21DkWR7wbYR,5347
Lost In Japan - Remix,Shawn Mendes Zedd,4644,https://open.spotify.com/track/575NJxNUVDqwJGdzBrlLbv,11302
Shallow,Lady Gaga Bradley Cooper,4609,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,4236
Don't Leave Me Alone (feat. Anne-Marie),David Guetta Anne-Marie,4379,https://open.spotify.com/track/2lYTJK94hb0fd1LQtb6Dhk,9850
End Game,Taylor Swift Ed Sheeran Future,4300,https://open.spotify.com/track/2x0WlnmfG39ZuDmstl9xfX,6191
Promises (with Sam Smith),Calvin Harris Sam Smith Jessie Reyez,4286,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,4260
New Light,John Mayer,4205,https://open.spotify.com/track/3bH4HzoZZFq8UpZmI2AMgV,9534
Scared to Be Lonely,Martin Garrix Dua Lipa,4103,https://open.spotify.com/track/3ebXMykcMXOcLeJ9xZ17XH,9399
Whatever You Want,P!nk,3941,https://open.spotify.com/track/4FMpRaAkaLY1tnXFFoeMJP,4717
